File,Detection start,Detection end,Common name,Latin name,Confidence,Label,Comment,Call count,File offset,Start (s),Latitude,Longitude,Place,Model
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250422_211000.WAV,2025-04-22 18:10:00.000,2025-04-22 18:10:03.000,Sabiá-Barranco,Turdus leucomelas,0.9579227566719055,,,,00:00:00,0,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:00.000,2025-04-23 05:40:03.000,Saracura-Três-Potes,Aramides cajaneus,0.9798154830932617,,,,00:00:00,0,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:03.000,2025-04-23 05:40:06.000,Saracura-Três-Potes,Aramides cajaneus,0.9915715456008911,,,,00:00:03,3,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:06.000,2025-04-23 05:40:09.000,Saracura-Três-Potes,Aramides cajaneus,0.9989369511604309,,,,00:00:06,6,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:09.000,2025-04-23 05:40:12.000,Saracura-Três-Potes,Aramides cajaneus,0.995698869228363,,,,00:00:09,9,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:12.000,2025-04-23 05:40:15.000,Saracura-Três-Potes,Aramides cajaneus,0.9968960285186768,,,,00:00:12,12,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:15.000,2025-04-23 05:40:18.000,Saracura-Três-Potes,Aramides cajaneus,0.9639857411384583,,,,00:00:15,15,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:18.000,2025-04-23 05:40:21.000,Saracura-Três-Potes,Aramides cajaneus,0.9960638880729675,,,,00:00:18,18,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:21.000,2025-04-23 05:40:24.000,Saracura-Três-Potes,Aramides cajaneus,0.9685304760932922,,,,00:00:21,21,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:27.000,2025-04-23 05:40:30.000,Saracura-Três-Potes,Aramides cajaneus,0.9856230020523071,,,,00:00:27,27,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:30.000,2025-04-23 05:40:33.000,Saracura-Três-Potes,Aramides cajaneus,0.9898063540458679,,,,00:00:30,30,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:33.000,2025-04-23 05:40:36.000,Saracura-Três-Potes,Aramides cajaneus,0.7836065888404846,,,,00:00:33,33,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:36.000,2025-04-23 05:40:39.000,Saracura-Três-Potes,Aramides cajaneus,0.9820631146430969,,,,00:00:36,36,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:39.000,2025-04-23 05:40:42.000,Saracura-Três-Potes,Aramides cajaneus,0.9807528853416443,,,,00:00:39,39,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:42.000,2025-04-23 05:40:45.000,Saracura-Três-Potes,Aramides cajaneus,0.8352636098861694,,,,00:00:42,42,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:45.000,2025-04-23 05:40:48.000,Saracura-Três-Potes,Aramides cajaneus,0.9093081951141357,,,,00:00:45,45,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:48.000,2025-04-23 05:40:51.000,Saracura-Três-Potes,Aramides cajaneus,0.9383811950683594,,,,00:00:48,48,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-21dias\20250423_084000.WAV,2025-04-23 05:40:51.000,2025-04-23 05:40:54.000,Saracura-Três-Potes,Aramides cajaneus,0.989249587059021,,,,00:00:51,51,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
